Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Datetime,,,,,
2025-08-10 22:00:00+00:00,23732.0,23770.0,23713.75,23767.25,20737
2025-08-10 23:00:00+00:00,23707.75,23742.25,23701.25,23732.0,16145
2025-08-11 00:00:00+00:00,23732.75,23738.0,23706.75,23707.0,17316
2025-08-11 01:00:00+00:00,23756.75,23762.5,23726.75,23732.5,14938
2025-08-11 02:00:00+00:00,23756.25,23771.0,23750.0,23757.25,13593
2025-08-11 03:00:00+00:00,23756.0,23773.5,23750.5,23756.5,10565
2025-08-11 04:00:00+00:00,23742.0,23759.0,23734.5,23755.0,9581
2025-08-11 05:00:00+00:00,23738.75,23749.0,23731.25,23742.5,8952
2025-08-11 06:00:00+00:00,23760.25,23760.75,23728.5,23739.0,12065
2025-08-11 07:00:00+00:00,23706.75,23765.0,23693.25,23760.0,20332
2025-08-11 08:00:00+00:00,23701.0,23709.5,23667.75,23706.25,27238
2025-08-11 09:00:00+00:00,23723.25,23731.75,23698.0,23700.5,14323
2025-08-11 10:00:00+00:00,23725.75,23745.25,23709.25,23723.0,14606
2025-08-11 11:00:00+00:00,23735.5,23740.5,23719.25,23725.5,14249
2025-08-11 12:00:00+00:00,23722.25,23756.25,23708.0,23735.25,25562
2025-08-11 13:00:00+00:00,23744.5,23745.0,23681.0,23722.25,141116
2025-08-11 14:00:00+00:00,23727.25,23767.5,23710.75,23745.0,146992
2025-08-11 15:00:00+00:00,23764.0,23764.0,23713.75,23726.75,105293
2025-08-11 16:00:00+00:00,23736.25,23804.5,23730.0,23763.75,112961
2025-08-11 17:00:00+00:00,23697.75,23753.0,23688.25,23736.75,85058
2025-08-11 18:00:00+00:00,23686.0,23701.25,23650.75,23698.0,106694
2025-08-11 19:00:00+00:00,23638.25,23690.25,23587.0,23686.0,119972
2025-08-11 20:00:00+00:00,23630.0,23648.5,23616.0,23638.75,27481
2025-08-11 22:00:00+00:00,23640.75,23650.0,23614.25,23632.0,0
2025-08-11 23:00:00+00:00,23636.75,23647.0,23625.25,23640.75,10058
2025-08-12 00:00:00+00:00,23638.75,23666.25,23628.75,23636.0,18706
2025-08-12 01:00:00+00:00,23658.75,23659.5,23631.5,23638.75,11912
2025-08-12 02:00:00+00:00,23651.0,23667.5,23648.75,23658.5,8086
2025-08-12 03:00:00+00:00,23657.0,23664.75,23650.5,23651.25,5516
2025-08-12 04:00:00+00:00,23671.5,23676.75,23650.5,23651.0,6194
2025-08-12 05:00:00+00:00,23629.25,23673.0,23596.0,23672.0,31723
2025-08-12 06:00:00+00:00,23648.75,23669.25,23627.75,23630.0,16896
2025-08-12 07:00:00+00:00,23665.75,23675.75,23638.5,23648.0,16151
2025-08-12 08:00:00+00:00,23641.25,23672.75,23634.75,23665.75,11600
2025-08-12 09:00:00+00:00,23635.75,23652.5,23635.25,23641.25,7838
2025-08-12 10:00:00+00:00,23635.0,23645.5,23625.75,23635.5,10122
2025-08-12 11:00:00+00:00,23640.75,23642.5,23608.5,23635.25,17522
2025-08-12 12:00:00+00:00,23773.5,23822.25,23638.75,23641.0,94295
2025-08-12 13:00:00+00:00,23653.5,23808.5,23650.0,23773.25,257523
2025-08-12 14:00:00+00:00,23776.5,23781.75,23622.0,23654.0,222930
2025-08-12 15:00:00+00:00,23867.5,23877.75,23773.0,23776.5,137281
2025-08-12 16:00:00+00:00,23900.0,23911.5,23846.5,23867.5,70354
2025-08-12 17:00:00+00:00,23914.0,23917.0,23885.25,23900.25,52177
2025-08-12 18:00:00+00:00,23907.5,23932.5,23905.25,23914.25,49881
2025-08-12 19:00:00+00:00,23934.0,23949.25,23901.0,23907.5,84296
2025-08-12 20:00:00+00:00,23948.75,23952.5,23924.25,23934.25,23501
2025-08-12 22:00:00+00:00,23930.25,23947.25,23925.5,23947.25,0
2025-08-12 23:00:00+00:00,23960.5,23966.5,23928.0,23930.25,16023
2025-08-13 00:00:00+00:00,23940.75,23967.75,23936.25,23959.75,20338
2025-08-13 01:00:00+00:00,23929.0,23948.25,23925.5,23941.5,10996
2025-08-13 02:00:00+00:00,23946.0,23951.75,23921.0,23928.25,11900
2025-08-13 03:00:00+00:00,23943.0,23958.0,23940.25,23945.75,7388
2025-08-13 04:00:00+00:00,23956.0,23962.5,23946.75,23947.75,6601
2025-08-13 05:00:00+00:00,23945.25,23960.0,23942.75,23956.0,5106
2025-08-13 06:00:00+00:00,23959.25,23973.25,23933.25,23945.5,11850
2025-08-13 07:00:00+00:00,23989.25,23990.75,23957.75,23959.5,15988
2025-08-13 08:00:00+00:00,23994.5,24017.0,23977.0,23989.75,19264
2025-08-13 09:00:00+00:00,24006.0,24009.75,23984.25,23994.0,9902
2025-08-13 10:00:00+00:00,23993.25,24012.75,23987.25,24006.0,10872
2025-08-13 11:00:00+00:00,23993.5,24006.75,23984.0,23992.75,13111
2025-08-13 12:00:00+00:00,24019.25,24033.25,23988.75,23993.5,22300
2025-08-13 13:00:00+00:00,24017.25,24069.0,24005.0,24019.75,157413
2025-08-13 14:00:00+00:00,23959.25,24017.5,23932.5,24017.5,217568
2025-08-13 15:00:00+00:00,23925.0,23960.75,23892.25,23959.25,165588
2025-08-13 16:00:00+00:00,23899.75,23939.75,23886.0,23925.5,86910
2025-08-13 17:00:00+00:00,23938.75,23947.75,23895.5,23899.25,90107
2025-08-13 18:00:00+00:00,23933.25,23954.25,23887.25,23939.0,87281
2025-08-13 19:00:00+00:00,23943.5,23957.5,23911.5,23933.75,89026
2025-08-13 20:00:00+00:00,23927.75,23960.25,23919.25,23943.25,24148
2025-08-13 22:00:00+00:00,23948.75,23951.25,23912.25,23930.0,0
2025-08-13 23:00:00+00:00,23949.25,23964.25,23938.5,23948.75,9487
2025-08-14 00:00:00+00:00,23932.25,23958.75,23930.0,23949.5,12350
2025-08-14 01:00:00+00:00,23931.25,23936.25,23916.5,23932.0,11219
2025-08-14 02:00:00+00:00,23940.0,23940.75,23923.75,23931.75,7717
2025-08-14 03:00:00+00:00,23927.75,23945.25,23922.25,23939.75,6109
2025-08-14 04:00:00+00:00,23933.0,23935.75,23919.75,23929.0,4890
2025-08-14 05:00:00+00:00,23909.75,23934.5,23897.5,23933.5,8706
2025-08-14 06:00:00+00:00,23916.0,23917.25,23899.5,23909.0,10479
2025-08-14 07:00:00+00:00,23933.75,23934.0,23912.0,23915.5,11273
2025-08-14 08:00:00+00:00,23924.75,23941.75,23920.75,23933.0,8100
2025-08-14 09:00:00+00:00,23926.75,23937.75,23917.25,23924.5,6878
2025-08-14 10:00:00+00:00,23935.0,23936.5,23917.75,23926.25,6645
2025-08-14 11:00:00+00:00,23955.0,23957.0,23926.5,23934.5,11320
2025-08-14 12:00:00+00:00,23844.0,23965.0,23793.25,23954.25,94378
2025-08-14 13:00:00+00:00,23936.5,23960.25,23816.5,23843.0,184727
2025-08-14 14:00:00+00:00,23955.75,24005.5,23904.75,23935.75,174047
2025-08-14 15:00:00+00:00,23931.25,23960.75,23862.75,23956.0,171315
2025-08-14 16:00:00+00:00,23947.25,23951.5,23864.5,23931.5,128432
2025-08-14 17:00:00+00:00,23962.5,23979.75,23937.5,23947.25,83256
2025-08-14 18:00:00+00:00,23923.75,23963.0,23891.75,23963.0,89440
2025-08-14 19:00:00+00:00,23921.5,23959.0,23916.75,23923.75,86105
2025-08-14 20:00:00+00:00,23891.0,23923.25,23870.25,23921.75,48760
2025-08-14 22:00:00+00:00,23895.5,23899.25,23872.0,23891.25,0
2025-08-14 23:00:00+00:00,23888.75,23911.0,23888.0,23896.0,10406
2025-08-15 00:00:00+00:00,23891.5,23914.0,23873.75,23889.25,15966
2025-08-15 01:00:00+00:00,23903.5,23911.5,23889.75,23891.5,9532
2025-08-15 02:00:00+00:00,23917.75,23927.0,23902.75,23904.0,11475
2025-08-15 03:00:00+00:00,23928.0,23929.5,23910.5,23918.0,6976
2025-08-15 04:00:00+00:00,23937.25,23946.5,23931.25,23939.75,9697
2025-08-15 05:00:00+00:00,23942.0,23945.0,23923.5,23937.25,8184
2025-08-15 06:00:00+00:00,23950.75,23960.25,23933.75,23941.0,10937
2025-08-15 07:00:00+00:00,23940.0,23962.75,23929.0,23949.75,11993
2025-08-15 08:00:00+00:00,23883.75,23954.25,23877.25,23940.25,19886
2025-08-15 09:00:00+00:00,23879.25,23896.75,23878.0,23883.25,12502
2025-08-15 10:00:00+00:00,23907.5,23919.25,23871.5,23879.75,17144
2025-08-15 11:00:00+00:00,23920.25,23927.25,23904.5,23907.25,10886
2025-08-15 12:00:00+00:00,23905.25,23921.25,23884.25,23921.0,33142
2025-08-15 13:00:00+00:00,23806.75,23924.25,23770.5,23904.5,188741
2025-08-15 14:00:00+00:00,23800.0,23883.25,23766.0,23803.5,216472
2025-08-15 15:00:00+00:00,23788.25,23835.25,23735.0,23800.0,158969
2025-08-15 16:00:00+00:00,23819.0,23826.0,23763.0,23787.25,103348
2025-08-15 17:00:00+00:00,23839.75,23843.5,23786.0,23818.75,76192
